IATA_CODE,DOT_Code,Cities,State,DOT_Airport_Name,IATA_Airport_Name
AKN,10245,King Salmon,AK,King Salmon Airport,King Salmon Airport
CEC,10930,Crescent City,CA,Jack McNamara Field,Del Norte County Airport (Jack McNamara Field)
CLD,11041,Carlsbad,CA,McClellan-Palomar,McClellan-Palomar Airport
CNY,11092,Moab,UT,Canyonlands Regional,Canyonlands Field
DLG,11336,Dillingham,AK,Dillingham Airport,Dillingham Airport
GST,11997,Gustavus,AK,Gustavus Airport,Gustavus Airport
GUC,12012,Gunnison,CO,Gunnison-Crested Butte Regional,Gunnison-Crested Butte Regional Airport
HYA,12250,Hyannis,MA,Cape Cod Gateway,Barnstable Municipal Airport
ILG,12320,Wilmington,DE,New Castle,Wilmington Airport
ITH,12397,Ithaca/Cortland,NY,Ithaca Tompkins International,Ithaca Tompkins Regional Airport
MMH,13388,Mammoth Lakes,CA,Mammoth Lakes Airport,Mammoth Yosemite Airport
PUB,14288,Pueblo,CO,Pueblo Memorial,Pueblo Memorial Airport
STC,15008,St. Cloud,MN,St. Cloud Regional,St. Cloud Regional Airport
VEL,15582,Vernal,UT,Vernal Regional,Valdez Airport
WYS,15897,West Yellowstone,MT,Yellowstone,Westerly State Airport
