Code,Cities,State,Airport_Name
10135,Allentown/Bethlehem/Easton,PA,Lehigh Valley International
10136,Abilene,TX,Abilene Regional
10140,Albuquerque,NM,Albuquerque International Sunport
10141,Aberdeen,SD,Aberdeen Regional
10146,Albany,GA,Southwest Georgia Regional
10154,Nantucket,MA,Nantucket Memorial
10155,Waco,TX,Waco Regional
10157,Arcata/Eureka,CA,California Redwood Coast Humboldt County
10158,Atlantic City,NJ,Atlantic City International
10165,Adak Island,AK,Adak
10170,Kodiak,AK,Kodiak Airport
10185,Alexandria,LA,Alexandria International
10208,Augusta,GA,Augusta Regional at Bush Field
10257,Albany,NY,Albany International
10268,Waterloo,IA,Waterloo Regional
10279,Amarillo,TX,Rick Husband Amarillo International
10299,Anchorage,AK,Ted Stevens Anchorage International
10333,Alpena,MI,Alpena County Regional
10372,Aspen,CO,Aspen Pitkin County Sardy Field
10397,Atlanta,GA,Hartsfield-Jackson Atlanta International
10408,Appleton,WI,Appleton International
10423,Austin,TX,Austin - Bergstrom International
10431,Asheville,NC,Asheville Regional
10434,Scranton/Wilkes-Barre,PA,Wilkes Barre Scranton International
10469,Kalamazoo,MI,Kalamazoo/Battle Creek International
10529,Hartford,CT,Bradley International
10551,Bethel,AK,Bethel Airport
10561,Bakersfield,CA,Meadows Field
10577,Binghamton,NY,Greater Binghamton/Edwin A. Link Field
10581,Bangor,ME,Bangor International
10599,Birmingham,AL,Birmingham-Shuttlesworth International
10620,Billings,MT,Billings Logan International
10627,Bismarck/Mandan,ND,Bismarck Municipal
10631,Bemidji,MN,Bemidji Regional
10666,Bellingham,WA,Bellingham International
10685,Bloomington/Normal,IL,Central Il Regional Airport at Bloomington
10693,Nashville,TN,Nashville International
10713,Boise,ID,Boise Air Terminal
10721,Boston,MA,Logan International
10728,Beaumont/Port Arthur,TX,Jack Brooks Regional
10731,Brunswick,GA,Brunswick Golden Isles
10732,Aguadilla,PR,Rafael Hernandez
10739,Brainerd,MN,Brainerd Lakes Regional
10747,Brownsville,TX,Brownsville South Padre Island International
10754,Barrow,AK,Wiley Post/Will Rogers Memorial
10779,Butte,MT,Bert Mooney
10781,Baton Rouge,LA,Baton Rouge Metropolitan/Ryan Field
10785,Burlington,VT,Patrick Leahy Burlington International
10792,Buffalo,NY,Buffalo Niagara International
10800,Burbank,CA,Bob Hope
10821,Baltimore,MD,Baltimore/Washington International Thurgood Marshall
10849,Bozeman,MT,Bozeman Yellowstone International
10868,Columbia,SC,Columbia Metropolitan
10874,Akron,OH,Akron-Canton Regional
10918,Cedar City,UT,Cedar City Regional
