IATA_CODE,DOT_Code,Cities,State,DOT_Airport_Name,IATA_Airport_Name
ABE,10135,Allentown/Bethlehem/Easton,PA,Lehigh Valley International,Lehigh Valley International Airport
ABI,10136,Abilene,TX,Abilene Regional,Abilene Regional Airport
ABQ,10140,Albuquerque,NM,Albuquerque International Sunport,Albuquerque International Sunport
ABR,10141,Aberdeen,SD,Aberdeen Regional,Aberdeen Regional Airport
ABY,10146,Albany,GA,Southwest Georgia Regional,Southwest Georgia Regional Airport
ACK,10154,Nantucket,MA,Nantucket Memorial,Nantucket Memorial Airport
ACT,10155,Waco,TX,Waco Regional,Waco Regional Airport
ACV,10157,Arcata/Eureka,CA,California Redwood Coast Humboldt County,Arcata Airport
ACY,10158,Atlantic City,NJ,Atlantic City International,Atlantic City International Airport
ADK,10165,Adak Island,AK,Adak,Adak Airport
ADQ,10170,Kodiak,AK,Kodiak Airport,Kodiak Airport
AEX,10185,Alexandria,LA,Alexandria International,Alexandria International Airport
AGS,10208,Augusta,GA,Augusta Regional at Bush Field,Augusta Regional Airport (Bush Field)
ALB,10257,Albany,NY,Albany International,Albany International Airport
ALO,10268,Waterloo,IA,Waterloo Regional,Waterloo Regional Airport
AMA,10279,Amarillo,TX,Rick Husband Amarillo International,Rick Husband Amarillo International Airport
ANC,10299,Anchorage,AK,Ted Stevens Anchorage International,Ted Stevens Anchorage International Airport
APN,10333,Alpena,MI,Alpena County Regional,Alpena County Regional Airport
ASE,10372,Aspen,CO,Aspen Pitkin County Sardy Field,Aspen-Pitkin County Airport
ATL,10397,Atlanta,GA,Hartsfield-Jackson Atlanta International,Hartsfield-Jackson Atlanta International Airport
ATW,10408,Appleton,WI,Appleton International,Appleton International Airport
AUS,10423,Austin,TX,Austin - Bergstrom International,Austin-Bergstrom International Airport
AVL,10431,Asheville,NC,Asheville Regional,Asheville Regional Airport
AVP,10434,Scranton/Wilkes-Barre,PA,Wilkes Barre Scranton International,Wilkes-Barre/Scranton International Airport
AZO,10469,Kalamazoo,MI,Kalamazoo/Battle Creek International,Kalamazoo/Battle Creek International Airport
BDL,10529,Hartford,CT,Bradley International,Bradley International Airport
BET,10551,Bethel,AK,Bethel Airport,Bethel Airport
BFL,10561,Bakersfield,CA,Meadows Field,Meadows Field
BGM,10577,Binghamton,NY,Greater Binghamton/Edwin A. Link Field,Greater Binghamton Airport
BGR,10581,Bangor,ME,Bangor International,Bangor International Airport
BHM,10599,Birmingham,AL,Birmingham-Shuttlesworth International,Birmingham-Shuttlesworth International Airport
BIL,10620,Billings,MT,Billings Logan International,Billings Logan International Airport
BIS,10627,Bismarck/Mandan,ND,Bismarck Municipal,Bismarck Municipal Airport
BJI,10631,Bemidji,MN,Bemidji Regional,Bemidji Regional Airport
BLI,10666,Bellingham,WA,Bellingham International,Bellingham International Airport
BMI,10685,Bloomington/Normal,IL,Central Il Regional Airport at Bloomington,Central Illinois Regional Airport at Bloomington-Normal
BNA,10693,Nashville,TN,Nashville International,Nashville International Airport
BOI,10713,Boise,ID,Boise Air Terminal,Boise Airport (Boise Air Terminal)
BOS,10721,Boston,MA,Logan International,Gen. Edward Lawrence Logan International Airport
BPT,10728,Beaumont/Port Arthur,TX,Jack Brooks Regional,Jack Brooks Regional Airport (Southeast Texas Regional)
BQK,10731,Brunswick,GA,Brunswick Golden Isles,Brunswick Golden Isles Airport
BQN,10732,Aguadilla,PR,Rafael Hernandez,Rafael Hernández Airport
BRD,10739,Brainerd,MN,Brainerd Lakes Regional,Brainerd Lakes Regional Airport
BRO,10747,Brownsville,TX,Brownsville South Padre Island International,Brownsville/South Padre Island International Airport
BRW,10754,Barrow,AK,Wiley Post/Will Rogers Memorial,Wiley Post-Will Rogers Memorial Airport
BTM,10779,Butte,MT,Bert Mooney,Bert Mooney Airport
BTR,10781,Baton Rouge,LA,Baton Rouge Metropolitan/Ryan Field,Baton Rouge Metropolitan Airport
BTV,10785,Burlington,VT,Patrick Leahy Burlington International,Burlington International Airport
BUF,10792,Buffalo,NY,Buffalo Niagara International,Buffalo Niagara International Airport
BUR,10800,Burbank,CA,Bob Hope,Bob Hope Airport (Hollywood Burbank Airport)
BWI,10821,Baltimore,MD,Baltimore/Washington International Thurgood Marshall,Baltimore-Washington International Airport
BZN,10849,Bozeman,MT,Bozeman Yellowstone International,Bozeman Yellowstone International Airport (Gallatin Field Airport)
CAE,10868,Columbia,SC,Columbia Metropolitan,Columbia Metropolitan Airport
CAK,10874,Akron,OH,Akron-Canton Regional,Akron-Canton Regional Airport
CDC,10918,Cedar City,UT,Cedar City Regional,Cedar City Regional Airport
CDV,10926,Cordova,AK,Merle K Mudhole Smith,Merle K. (Mudhole) Smith Airport
CHA,10980,Chattanooga,TN,Lovell Field,Chattanooga Metropolitan Airport (Lovell Field)
CHO,10990,Charlottesville,VA,Charlottesville Albemarle,Charlottesville-Albemarle Airport
CHS,10994,Charleston,SC,Charleston AFB/International,Charleston International Airport/Charleston AFB
CID,11003,Cedar Rapids/Iowa City,IA,The Eastern Iowa,The Eastern Iowa Airport
CIU,11013,Sault Ste. Marie,MI,Chippewa County International,Chippewa County International Airport
CLE,11042,Cleveland,OH,Cleveland-Hopkins International,Cleveland Hopkins International Airport
CLL,11049,College Station/Bryan,TX,Easterwood Field,Easterwood Airport
CLT,11057,Charlotte,NC,Charlotte Douglas International,Charlotte Douglas International Airport
CMH,11066,Columbus,OH,John Glenn Columbus International,Port Columbus International Airport
CMI,11067,Champaign/Urbana,IL,University of Illinois/Willard,University of Illinois - Willard Airport
CMX,11076,Hancock/Houghton,MI,Houghton County Memorial,Houghton County Memorial Airport
COD,11097,Cody,WY,Yellowstone Regional,Yellowstone Regional Airport
COS,11109,Colorado Springs,CO,City of Colorado Springs Municipal,City of Colorado Springs Municipal Airport
COU,11111,Columbia,MO,Columbia Regional,Columbia Regional Airport
CPR,11122,Casper,WY,Casper/Natrona County International,Natrona County International Airport
CRP,11140,Corpus Christi,TX,Corpus Christi International,Corpus Christi International Airport
CRW,11146,Charleston/Dunbar,WV,West Virginia International Yeager,Yeager Airport
CSG,11150,Columbus,GA,Columbus Airport,Columbus Metropolitan Airport
CVG,11193,Cincinnati,OH,Cincinnati/Northern Kentucky International,Cincinnati/Northern Kentucky International Airport
CWA,11203,Mosinee,WI,Central Wisconsin,Central Wisconsin Airport
DAB,11252,Daytona Beach,FL,Daytona Beach International,Daytona Beach International Airport
DAL,11259,Dallas,TX,Dallas Love Field,Dallas Love Field
DAY,11267,Dayton,OH,James M Cox/Dayton International,James M. Cox Dayton International Airport
DBQ,11274,Dubuque,IA,Dubuque Regional,Dubuque Regional Airport
DCA,11278,Washington,DC,Ronald Reagan Washington National,Ronald Reagan Washington National Airport
DEN,11292,Denver,CO,Denver International,Denver International Airport
DFW,11298,Dallas/Fort Worth,TX,Dallas/Fort Worth International,Dallas/Fort Worth International Airport
DHN,11308,Dothan,AL,Dothan Regional,Dothan Regional Airport
DIK,11315,Dickinson,ND,Dickinson - Theodore Roosevelt Regional,Dickinson Theodore Roosevelt Regional Airport
DLH,11337,Duluth,MN,Duluth International,Duluth International Airport
DRO,11413,Durango,CO,Durango La Plata County,Durango-La Plata County Airport
DSM,11423,Des Moines,IA,Des Moines International,Des Moines International Airport
DTW,11433,Detroit,MI,Detroit Metro Wayne County,Detroit Metropolitan Airport
DVL,11447,Devils Lake,ND,Devils Lake Regional,Devils Lake Regional Airport
EAU,11471,Eau Claire,WI,Chippewa Valley Regional,Chippewa Valley Regional Airport
ECP,11481,Panama City,FL,Northwest Florida Beaches International,Northwest Florida Beaches International Airport
EGE,11503,Eagle,CO,Eagle County Regional,Eagle County Regional Airport
EKO,11525,Elko,NV,Elko Regional,Elko Regional Airport
ELM,11537,Elmira/Corning,NY,Elmira/Corning Regional,Elmira/Corning Regional Airport
ELP,11540,El Paso,TX,El Paso International,El Paso International Airport
ERI,11577,Erie,PA,Erie International/Tom Ridge Field,Erie International Airport
ESC,11587,Escanaba,MI,Delta County,Delta County Airport
EUG,11603,Eugene,OR,Mahlon Sweet Field,Eugene Airport (Mahlon Sweet Field)
EVV,11612,Evansville,IN,Evansville Regional,Evansville Regional Airport
EWN,11617,New Bern/Morehead/Beaufort,NC,Coastal Carolina Regional,Coastal Carolina Regional Airport (Craven County Regional)
