Destination_Airport Origin_Airport  Distance 
JFK  	LGB  	2465
SFO  	DCA  	2442
TPA  	MCI  	1048
CLT  	HOU  	920
CLE  	MIA  	1080
BUF  	LGA  	292
IAH  	CLT  	912
ORD  	TPA  	1012
SEA  	BOI  	399
DFW  	XNA  	280
SJC  	SAN  	417
BHM  	LAS  	1618
SGF  	ORD  	438
BNA  	MCO  	616
LGA  	FLL  	1076
CVG  	DEN  	1069
BWI  	DFW  	1217
IAH  	ATL  	689
DTW  	HPN  	505
ATL  	SJC  	2116
TPA  	LAS  	1984
DTW  	DSM  	534
SFO  	SLC  	599
IAD  	BDL  	326
LCH  	DFW  	295
DFW  	EVV  	642
LAS  	BDL  	2297
ATL  	PIT  	526
MCO  	RIC  	667
FLL  	LAS  	2173
SRQ  	ATL  	444
DRO  	DEN  	251
BZN  	SEA  	543
ORF  	MIA  	802
BUR  	SMF  	358
JFK  	PDX  	2454
DFW  	BTR  	383
DFW  	LEX  	785
DEN  	MTJ  	196
PHX  	BUR  	369
MMH  	SFO  	193
PHX  	PSP  	261
DTW  	MKE  	237
MCI  	MIA  	1251
CLT  	CVG  	335
BNA  	JFK  	765
MSY  	ORD  	837
CVG  	SAN  	1865
MSY  	SAN  	1599
SRQ  	DTW  	1022
MSP  	RIC  	970
ORD  	PNS  	794
MCO  	PVD  	1072
FAT  	DFW  	1313
BHM  	TPA  	459
DCA  	SLC  	1851
ELP  	PHX  	347
SLC  	MFR  	575
IAH  	PIA  	802
IND  	LAS  	1590
BHM  	ATL  	134
IAD  	LAS  	2065
SFO  	EWR  	2565
EWR  	STL  	872
ORD  	SJC  	1829
DFW  	SEA  	1660
HOU  	ELP  	677
LAS  	DTW  	1749
FCA  	ATL  	1842
ROC  	IAD  	288
MCI  	MDW  	405
HOU  	PDX  	1843
TPA  	IAH  	787
FLL  	EWR  	1065
BNA  	CLE  	448
ISP  	FLL  	1092
GEG  	BOI  	287
LAX  	LIH  	2615
DEN  	MCO  	1546
DCA  	ACK  	405
LIH  	SAN  	2676
BDL  	FLL  	1173
SFO  	ORD  	1846
TPA  	PHX  	1788
MIA  	DTW  	1145
TPA  	ROC  	1079
DTW  	ORD  	235
TPA  	ACY  	913
DEN  	SLC  	391
MCO  	HOU  	849
BQN  	JFK  	1576
HPN  	RSW  	1102
PVD  	PHL  	237
SGU  	SLC  	272
ORD  	MOB  	778
MSP  	DEN  	680
LGA  	IAH  	1416
ORD  	STC  	394
LBE  	MCO  	824
GRK  	IAH  	166
LAS  	ATL  	1747
MEM  	DFW  	432
MSP  	ABR  	257
STT  	ORD  	2116
CRP  	HOU  	187
CVG  	IAH  	871
MSP  	FSD  	196
IAH  	BWI  	1235
MDW  	OAK  	1844
IAH  	TYS  	771
LAS  	BOI  	519
HDN  	ATL  	1340
JAX  	DCA  	634
LGA  	BGR  	378
BLI  	OGG  	2681
PDX  	CLT  	2282
MSP  	IAH  	1034
TPA  	BDL  	1111
LAS  	CLE  	1824
JFK  	MCO  	944
OGG  	PDX  	2562
PHL  	AUS  	1430
MDW  	PIT  	402
ORD  	RNO  	1671
LGA  	DTW  	502
LAS  	RDU  	2026
SEA  	PHL  	2378
BWI  	IAH  	1235
SLC  	DSM  	955
BNA  	HOU  	670
DFW  	STL  	550
SLC  	OAK  	588
PHX  	ABQ  	328
DAL  	PIT  	1060
CLE  	LAS  	1824
HOU  	DCA  	1218
FCA  	DEN  	752
LAX  	MCO  	2218
JFK  	MSY  	1182
BUF  	FLL  	1165
FLL  	IAH  	966
JAC  	DEN  	406
MCO  	MKE  	1066
SAV  	DFW  	925
PSG  	WRG  	31
ATL  	FNT  	645
AUS  	DFW  	190
HPN  	ORD  	738
PBI  	IAD  	859
FLL  	ACY  	977
LAX  	KOA  	2504
BNA  	AUS  	756
SFO  	IAH  	1635
SBA  	PHX  	455
IND  	DCA  	500
DEN  	COS  	73
SMF  	BUR  	358
EWR  	IAD  	212
ASE  	IAH  	913
DIK  	DEN  	488
GSO  	EWR  	445
SFO  	SUN  	587
LAS  	BUR  	223
SNA  	OAK  	371
OKC  	DEN  	495
SLC  	STL  	1156
DFW  	FWA  	859
IAD  	ORD  	588
ABQ  	ATL  	1269
BOS  	BNA  	942
EWN  	ATL  	433
IAH  	PSP  	1269
CMI  	DFW  	692
MSP  	EWR  	1008
ATL  	DCA  	547
DCA  	PDX  	2350
BWI  	ABQ  	1670
VLD  	ATL  	208
ORD  	BZN  	1186
DEN  	PSC  	852
HNL  	SEA  	2677
DEN  	DAL  	651
MDW  	CLE  	307
MDW  	MCI  	405
ATL  	ACY  	679
ALO  	ORD  	234
CLE  	DTW  	95
KOA  	ANC  	2874
GRR  	DEN  	1015
ORD  	SLC  	1250
ICT  	LAS  	986
LAS  	MAF  	795
DFW  	SHV  	190
BOS  	CMH  	640
MDW  	AUS  	972
BWI  	TPA  	842
BTV  	EWR  	266
IAD  	GSO  	239
JFK  	BOS  	187
SHV  	ATL  	551
PBI  	BOS  	1197
SLC  	DCA  	1851
DCA  	DFW  	1192
LGA  	MSP  	1020
IAH  	CAE  	878
LAX  	FLL  	2342
MSP  	BOI  	1142
PHL  	IAH  	1325
OGG  	SMF  	2404
CLT  	LAS  	1916
JAC  	IAH  	1265
BWI  	LAS  	2106
BWI  	PHX  	1999
BWI  	LIT  	912
LAS  	MCO  	2039
EWR  	PHX  	2133
EWR  	BQN  	1585
IAH  	SMF  	1609
FLL  	RDU  	680
ATL  	PWM  	1027
ORD  	DAY  	240
SJC  	SEA  	697
CMH  	BOS  	640
DFW  	DSM  	624
MCO  	SWF  	989
LGA  	DEN  	1620
LGB  	LAS  	231
ATL  	GRK  	803
SNA  	DAL  	1216
JAC  	SLC  	205
SFO  	PSC  	620
PVD  	TPA  	1136
SNA  	SLC  	588
OGG  	SJC  	2355
MDW  	MSP  	349
PHX  	FLL  	1972
BWI  	SLC  	1865
SYR  	DCA  	298
AMA  	DFW  	312
CLE  	ATL  	554
DAL  	SLC  	999
DFW  	CMI  	692
BIL  	MSP  	748
TUS  	DEN  	639
CRW  	ORD  	416
PBG  	MYR  	811
DAL  	ICT  	333
DEN  	RDU  	1436
CAK  	ORD  	343
IND  	MCO  	829
RDU  	IAD  	224
GJT  	DEN  	212
DTW  	IND  	231
PIT  	TPA  	873
IAH  	OKC  	395
DTW  	OMA  	651
SAN  	MCI  	1334
SFO  	RDM  	462
RNO  	MDW  	1680
DAL  	DCA  	1184
DEN  	LBB  	456
ORD  	SJU  	2072
PBI  	ATL  	545
SFO  	ATL  	2139
RNO  	DEN  	804
FNT  	BWI  	452
MCO  	BNA  	616
SFO  	MMH  	193
MIA  	MCI  	1251
CLE  	EWR  	404
FLL  	LAX  	2343
JFK  	MVY  	173
KOA  	DEN  	3329
ANC  	SEA  	1448
BWI  	ISP  	220
SFO  	ANC  	2018
JFK  	RSW  	1074
ISP  	BWI  	220
PBI  	BDL  	1133
ATL  	TLH  	223
RDU  	MDW  	632
BDL  	MIA  	1194
FLL  	SWF  	1118
BFL  	PHX  	425
EWR  	CVG  	569
MSP  	RDU  	980
ATL  	ROC  	749
DTW  	SAV  	705
PIT  	IAH  	1117
HNL  	PDX  	2603
COS  	SLC  	411
OAK  	CMH  	2110
IAD  	MSY  	955
BNA  	EWR  	748
CLT  	DAL  	926
SLC  	LAX  	590
ORD  	MHT  	843
SAN  	PHL  	2370
RIC  	EWR  	277
MOB  	ORD  	778
BWI  	EWR  	169
GRR  	BWI  	528
DEN  	DRO  	250
ORD  	SUX  	436
BWI  	BUF  	281
MCO  	DEN  	1546
MCO  	ORD  	1005
DTW  	MDT  	371
SLC  	GTF  	463
LAS  	MIA  	2174
PHL  	DAL  	1295
DEN  	HNL  	3365
SJC  	IAH  	1608
PNS  	DFW  	604
OMA  	MSP  	282
AUS  	HRL  	273
FNT  	MSP  	491
ELM  	ATL  	717
BWI  	MHT  	377
CLT  	FLL  	631
PHL  	DFW  	1303
GRB  	DTW  	287
LWS  	SLC  	461
STL  	TPA  	869
SFO  	BFL  	238
MDW  	ALB  	717
BHM  	DEN  	1083
OGG  	LIH  	201
ATL  	AVL  	164
SDF  	ORD  	286
DAL  	SAN  	1182
EWR  	MCI  	1092
LAX  	DAL  	1246
IND  	MSP  	503
ATL  	SAT  	874
OAK  	ABQ  	889
CMH  	LAS  	1771
EWR  	BNA  	748
BNA  	SLC  	1404
ATL  	TUL  	674
MSP  	MKE  	297
MCO  	MIA  	192
OMA  	IAH  	781
ATL  	ELP  	1282
MSP  	GTF  	887
ATL  	DAL  	721
PHL  	SJU  	1576
BZN  	ORD  	1186
MSP  	ATL  	907
SJC  	SNA  	342
LAS  	SDF  	1624
ORD  	TYS  	475
FLL  	BUF  	1165
JMS  	DVL  	83
BDL  	PBI  	1133
ELP  	ATL  	1282
JFK  	JAX  	828
DFW  	JAX  	918
SAN  	MKE  	1739
ECP  	BNA  	401
TPA  	RDU  	587
ATL  	SRQ  	444
LGA  	PIT  	335
STT  	IAD  	1606
PHX  	ANC  	2552
DEN  	SAF  	303
MDW  	SEA  	1733
PDX  	ORD  	1739
IAH  	TYR  	163
SEA  	SNA  	978
STL  	CVG  	308
LAX  	PDX  	834
ATL  	RDU  	356
PIA  	ORD  	130
EWR  	DTW  	488
LAX  	ANC  	2345
MIA  	RDU  	700
HOU  	CHS  	928
